item_id,concept,weight
iir_1_1,bit,1
iir_1_1,word brutu,1
iir_1_1,tobe,1
iir_1_1,key statist,1
iir_1_1,grep,1
iir_1_1,record,1
iir_1_1,hong kong,1
iir_1_1,caesar,1
iir_1_1,magnitud,1
iir_1_1,individu memo,1
iir_1_1,result,1
iir_1_1,document retriev,1
iir_1_1,goal,1
iir_1_1,sort,1
iir_1_1,unit,1
iir_1_1,detail discuss,1
iir_1_1,impract,1
iir_1_1,qualiti,1
iir_1_1,punctuat,1
iir_1_1,basic,1
iir_1_1,precis,1
iir_1_1,peopl,1
iir_1_1,linear,1
iir_1_1,vector,1
iir_1_1,mean,1
iir_1_1,binari term document incid matrix,1
iir_1_1,dictionari,1
iir_1_1,set,1
iir_1_1,crucial observ,1
iir_1_1,topic,1
iir_1_1,simpl queri,1
iir_1_1,search,1
iir_1_1,begin,1
iir_1_1,attempt,1
iir_1_1,bodi,1
iir_1_1,item,1
iir_1_1,antoni,1
iir_1_1,form,1
iir_1_1,advanc,1
iir_1_1,answer,1
iir_1_1,respect,1
iir_1_1,central,1
iir_1_1,terminolog,1
iir_1_1,section,1
iir_1_1,posit,1
iir_1_1,index,1
iir_1_1,possibl,1
iir_1_1,figur,1
iir_1_1,billion,1
iir_1_1,wildcard pattern,1
iir_1_1,shakespear,1
iir_1_1,term,1
iir_1_1,vocabulari,1
iir_1_1,cleopatra,1
iir_1_1,averag,1
iir_1_1,entri,1
iir_1_1,represent,1
iir_1_1,idea,1
iir_1_1,complement,1
iir_1_1,moment,1
iir_1_1,chapter,1
iir_1_1,collect,1
iir_1_1,sentenc,1
iir_1_1,column,1
iir_1_1,flexibl match oper,1
iir_1_1,recal,1
iir_1_1,process,1
iir_1_1,speed,1
iir_1_1,relev,1
iir_1_1,byte,1
iir_1_1,kind,1
iir_1_1,fraction,1
iir_1_1,notat,1
iir_1_1,evalu measur,1
iir_1_1,hamlet,1
iir_1_1,boolean retriev model,1
iir_1_1,onlin data,1
iir_1_1,invert file,1
iir_1_1,artifici,1
iir_1_1,user,1
iir_1_1,bitwis,1
iir_1_1,play,1
iir_1_1,comput,1
iir_1_1,total,1
iir_1_1,opportun,1
iir_1_1,redund,1
iir_1_1,realist scenario,1
iir_1_1,cell,1
iir_1_1,altern,1
iir_1_1,corpu,1
iir_1_1,memori,1
iir_1_1,inform,1
iir_1_1,half trillion,1
iir_1_1,minimum,1
iir_1_1,spars,1
iir_1_1,countrymen,1
iir_1_1,consider,1
iir_1_1,amount,1
iir_1_1,boolean express,1
iir_1_1,list,1
iir_1_1,dimens,1
iir_1_1,retriev system,1
iir_1_1,size,1
iir_1_1,calpurnia,1
iir_1_1,lexicon,1
iir_1_1,concept,1
iir_1_1,space,1
iir_1_1,text,1
iir_1_1,fat book,1
iir_1_1,pipelin leak,1
iir_1_2,alphabet,1
iir_1_2,length,1
iir_1_2,represent,1
iir_1_2,space requir,1
iir_1_2,basi,1
iir_1_2,wast,1
iir_1_2,chapter,1
iir_1_2,multipl occurr,1
iir_1_2,offset,1
iir_1_2,success integ,1
iir_1_2,modern processor,1
iir_1_2,infrequ,1
iir_1_2,equival,1
iir_1_2,data organ,1
iir_1_2,process,1
iir_1_2,result,1
iir_1_2,uniqu serial,1
iir_1_2,retriev time,1
iir_1_2,token,1
iir_1_2,vital,1
iir_1_2,speed benefit,1
iir_1_2,web,1
iir_1_2,word,1
iir_1_2,document,1
iir_1_2,disk,1
iir_1_2,updat,1
iir_1_2,major step,1
iir_1_2,instanc,1
iir_1_2,statist,1
iir_1_2,contigu run,1
iir_1_2,dictionari,1
iir_1_2,hybrid scheme,1
iir_1_2,addit pointer,1
iir_1_2,cheap insert,1
iir_1_2,altern,1
iir_1_2,storag requir,1
iir_1_2,middl column,1
iir_1_2,memori,1
iir_1_2,advanc,1
iir_1_2,inform,1
iir_1_2,overhead,1
iir_1_2,practic,1
iir_1_2,queri time,1
iir_1_2,compact,1
iir_1_2,basic boolean search engin,1
iir_1_2,pair,1
iir_1_2,docid,1
iir_1_2,section,1
iir_1_2,index term,1
iir_1_2,linguist preprocess,1
iir_1_2,rival,1
iir_1_2,stage,1
iir_1_2,input,1
iir_1_2,list,1
iir_1_2,figur,1
iir_1_2,size,1
iir_1_2,text,1
iir_1_2,effici,1
iir_1_3,length,1
iir_1_3,singl global,1
iir_1_3,justif,1
iir_1_3,crucial,1
iir_1_3,log time,1
iir_1_3,effect method,1
iir_1_3,major element,1
iir_1_3,short,1
iir_1_3,intersect,1
iir_1_3,differ,1
iir_1_3,oper,1
iir_1_3,decis,1
iir_1_3,magnitud,1
iir_1_3,invalid item,1
iir_1_3,theta,1
iir_1_3,time linear,1
iir_1_3,memori data,1
iir_1_3,sum,1
iir_1_3,sort,1
iir_1_3,result list,1
iir_1_3,disk,1
iir_1_3,huge,1
iir_1_3,intermedi express,1
iir_1_3,complex,1
iir_1_3,dictionari,1
iir_1_3,invert index,1
iir_1_3,membership,1
iir_1_3,logic,1
iir_1_3,disjunct,1
iir_1_3,estim,1
iir_1_3,common type,1
iir_1_3,standard heurist,1
iir_1_3,advanc,1
iir_1_3,answer,1
iir_1_3,practic,1
iir_1_3,famili,1
iir_1_3,total amount,1
iir_1_3,docid,1
iir_1_3,system,1
iir_1_3,counterintuit,1
iir_1_3,possibl,1
iir_1_3,asymmetr,1
iir_1_3,figur,1
iir_1_3,hashtabl,1
iir_1_3,difficult,1
iir_1_3,natur,1
iir_1_3,term,1
iir_1_3,queri optim,1
iir_1_3,altern techniqu,1
iir_1_3,algorithm,1
iir_1_3,chapter,1
iir_1_3,collect,1
iir_1_3,distinct output,1
iir_1_3,process,1
iir_1_3,basic boolean retriev model,1
iir_1_3,brutu,1
iir_1_3,document,1
iir_1_3,user,1
iir_1_3,simpl conjunct queri,1
iir_1_3,binari search,1
iir_1_3,simpl,1
iir_1_3,interleav,1
iir_1_3,step,1
iir_1_3,post list,1
iir_1_3,opportun,1
iir_1_3,sequenc,1
iir_1_3,pointer,1
iir_1_3,multipl,1
iir_1_3,circumst,1
iir_1_3,input,1
iir_1_3,size,1
iir_1_3,calpurnia,1
iir_1_3,function,1
iir_1_3,effici,1
iir_1_3,constant,1
iir_1_4,imposs,1
iir_1_4,length,1
iir_1_4,queri express,1
iir_1_4,popular oper,1
iir_1_4,close,1
iir_1_4,toler,1
iir_1_4,search option,1
iir_1_4,construct,1
iir_1_4,uncommon,1
iir_1_4,structur unit,1
iir_1_4,free text queri,1
iir_1_4,day,1
iir_1_4,natur languag,1
iir_1_4,gate,1
iir_1_4,sort,1
iir_1_4,basic technolog,1
iir_1_4,word,1
iir_1_4,main,1
iir_1_4,peopl,1
iir_1_4,ten,1
iir_1_4,dictionari,1
iir_1_4,set,1
iir_1_4,control,1
iir_1_4,term proxim oper,1
iir_1_4,disjunct,1
iir_1_4,vector space model,1
iir_1_4,microsoft,1
iir_1_4,major,1
iir_1_4,practic,1
iir_1_4,liab,1
iir_1_4,compound,1
iir_1_4,section,1
iir_1_4,system,1
iir_1_4,basic invert index,1
iir_1_4,mechan,1
iir_1_4,legal materi,1
iir_1_4,million,1
iir_1_4,mistak,1
iir_1_4,date,1
iir_1_4,commerci legal search servic,1
iir_1_4,doubl quot,1
iir_1_4,rank,1
iir_1_4,difficult,1
iir_1_4,addit idea,1
iir_1_4,term,1
iir_1_4,paragraph,1
iir_1_4,arriv,1
iir_1_4,percentag,1
iir_1_4,profession,1
iir_1_4,chapter,1
iir_1_4,partial implement,1
iir_1_4,sentenc,1
iir_1_4,inconsist choic,1
iir_1_4,type,1
iir_1_4,precis languag,1
iir_1_4,strict boolean express,1
iir_1_4,boolean retriev model,1
iir_1_4,weight,1
iir_1_4,detail,1
iir_1_4,http,1
iir_1_4,document,1
iir_1_4,dictionaryrank ir system,1
iir_1_4,world wide web,1
iir_1_4,user,1
iir_1_4,basic issu,1
iir_1_4,academ research,1
iir_1_4,domain,1
iir_1_4,law librarian,1
iir_1_4,subscrib,1
iir_1_4,worksit,1
iir_1_4,limit,1
iir_1_4,post list,1
iir_1_4,commerci inform provid,1
iir_1_4,typic expert queri,1
iir_1_4,advantag,1
iir_1_4,terabyt,1
iir_1_4,augment index structur,1
iir_1_4,match,1
iir_1_4,evid,1
iir_1_4,transpar,1
iir_1_4,inform,1
iir_1_4,connector,1
iir_1_4,experi,1
iir_1_4,phrase search,1
iir_1_4,effect mean,1
iir_1_4,satisfactori middl ground,1
iir_1_4,simpl queri optim,1
iir_1_4,web search,1
iir_1_4,www westlaw,1
iir_1_4,unord result,1
iir_1_4,linear time merg,1
iir_1_4,retriev,1
iir_1_4,default,1
iir_1_4,exclam mark,1
iir_1_4,turtl,1
iir_1_4,absenc,1
iir_1_4,decad,1
iir_1_4,refer,1
iir_2_1,dollar amount,1
iir_2_1,understand,1
iir_2_1,multipl level,1
iir_2_1,encod,1
iir_2_1,mini document,1
iir_2_1,scheme,1
iir_2_1,user select,1
iir_2_1,ascii,1
iir_2_1,boolean model,1
iir_2_1,sort,1
iir_2_1,extend post,1
iir_2_1,invert index construct,1
